Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Decker-Voigt05;Decker-Voigt;Hans-Helmut;"""..das berührt mich tief"" - Musiktherapie und Basale Stimulation/Basale Bildung.";2016;Basale Stimulation, Basale Bildung;"""Basale Stimulation"" (C. Bienstein, A. Fröhlich u.v. a.) stammte zunächst aus Bereichen der Altenpflege, der Arbeit mit Koma-, Wachkomapatienten u.a., die der Vollpflege bedürfen und basierte auf Erkenntnissen, die die Stimulans jeder taktil-haptischen Berührung auf den Affekthaushalt des Klienten beschrieben und dem Klienten erfahrbar machten (z.B. bei der ganzheitlichen Auffassung von Waschprozessen).";978-3-95490-208-8;Deutsch
Decker-Voigt06;Decker-Voigt;Hans-Helmut;Der Blick in gelbe Augen. Geschichten über Menschen und solche, die es sein wollen.;1997;Geschichten;Auszug aus dem Vorwort: die Kolumnen Hans–Helmut Decker – Voigts sind anders. So lange schreibe ja, behaupten jene Zeitungsmacher, die den durchschnittlichen Medien – Konsumenten wissenschaftlich betrachten. Danach Alarme das Interesse der geneigten Leserschaft nicht nur nach 87 Zeilen, viel mehr noch: der Beitrag wäre gar nicht erst gelesen.;3-928783-71-8;Deutsch
Decker-Voigt07;Decker-Voigt;Hans-Helmut;Einseitige Liebesgeschichten. Furchtbar normale, skurrile und kreative Hindernisläufe zum Liebesglück;2009;Beziehungen, Paarbeziehungen, Liebe, Sexualität, Bindung, Kurzgeschichten;Hans-Helmut Decker-Vogt hat die besondere Gabe, psychologisch scharfsinnige Beobachtungen an sich selbst und seinen Mitmenschen mit Humor und einer erfrischend warmherzigen Liebe und Sorgfalt so zu schildern, dass man beim Lesen selbst über seine mannigfaltigen Aha-Erlebnisse schmunzeln muss. Die in diesem Erzählband versammelten Kurzgeschichten zeigen die ungewöhnlichen Spielarten der Liebe zwischen ganz normalen Leuten. Wunderbarer Lesestoff mit lehrreichen Überraschungen.;978-3-927369-41-2;Deutsch
Decker-Voigt07a;Decker-Voigt;Hans-Helmut;Einseitige Liebesgeschichten. Furchtbar normale, skurrile und kreative Hindernisläufe zum Liebesglück;2009;Beziehungen, Paarbeziehungen, Liebe, Sexualität, Bindung, Kurzgeschichten;Hans-Helmut Decker-Vogt hat die besondere Gabe, psychologisch scharfsinnige Beobachtungen an sich selbst und seinen Mitmenschen mit Humor und einer erfrischend warmherzigen Liebe und Sorgfalt so zu schildern, dass man beim Lesen selbst über seine mannigfaltigen Aha-Erlebnisse schmunzeln muss. Die in diesem Erzählband versammelten Kurzgeschichten zeigen die ungewöhnlichen Spielarten der Liebe zwischen ganz normalen Leuten. Wunderbarer Lesestoff mit lehrreichen Überraschungen.;978-3-927369-41-2;Deutsch
Decker-Voigt07b;Decker-Voigt;Hans-Helmut;Einseitige Liebesgeschichten. Furchtbar normale, skurrile und kreative Hindernisläufe zum Liebesglück;2009;Beziehungen, Paarbeziehungen, Liebe, Sexualität, Bindung, Kurzgeschichten;Hans-Helmut Decker-Vogt hat die besondere Gabe, psychologisch scharfsinnige Beobachtungen an sich selbst und seinen Mitmenschen mit Humor und einer erfrischend warmherzigen Liebe und Sorgfalt so zu schildern, dass man beim Lesen selbst über seine mannigfaltigen Aha-Erlebnisse schmunzeln muss. Die in diesem Erzählband versammelten Kurzgeschichten zeigen die ungewöhnlichen Spielarten der Liebe zwischen ganz normalen Leuten. Wunderbarer Lesestoff mit lehrreichen Überraschungen.;978-3-927369-41-2;Deutsch
Decker-Voigt08;Decker-Voigt;Hans-Helmut;Handbuch Musiktherapie. Funktionsfelder. Verfahren. Und ihre interdisziplinäre Verflechtung;1983;Psychologie, Medizin, Psychiatrie, Psychosomatik, Allgemeinmedizin, Ausblind, Selbsterfahrung, Supervision;;3-87204-350-1;Deutsch
Decker-Voigt09;Decker-Voigt;Hans-Helmut;Komm spiel mit mir. Spiele mit Tönen;1978;Töne, Spiele, Praxis, Interaktion;Dies ist eine Sammlung von alten und neuen Spielen für Kinder und Erwachsene, solchen, die jeder kennt und Spielen, die der Autor neu erfunden hat. Allen gemeinsam ist eins: gespielt wird mit Tönen, Geräuschen und Klängen.;3-439-82015-7;Deutsch
Decker-Voigt10;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben;2008;Schwangerschaft, Musikerleben von Kindern, Hörvermögen, Musik und Persönlichkeitsentwicklung;Schon im Mutterleib erlebt das Baby Rhythmen, musikalische Dynamik und Melodien durch den Herzschlag der Mutter, ihre Stimme, Geräusche der Außenwelt. Wie entwickeln sich Musikerleben und Hörvermögen des Kindes? Wie prägen uns frühe Rhythmen? Wie beeinflusst Musikerleben die Persönlichkeitsentwicklung? Der Autor erklärt Eltern die spannendsten Forschungsergebnisse zum Musikerleben von der Schwangerschaft bis in die frühe Kindheit. Für jede Entwicklungsphase gibt er Anregungen, wie man Kinder spielerisch mit Musik begleiten, fordern und anregen kann: in gemeinsamen Ritualen, mit Singen, Rhythmus- und Bewegungsspielen. Dabei lernen Eltern vor allem Eines: genau hinhören und mitschwingen mit dem individuellen Rhythmus ihres Kindes.;978-3-497-0128-1;Deutsch
Decker-Voigt10a;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben;2008;Schwangerschaft, Musikerleben von Kindern, Hörvermögen, Musik und Persönlichkeitsentwicklung;Schon im Mutterleib erlebt das Baby Rhythmen, musikalische Dynamik und Melodien durch den Herzschlag der Mutter, ihre Stimme, Geräusche der Außenwelt. Wie entwickeln sich Musikerleben und Hörvermögen des Kindes? Wie prägen uns frühe Rhythmen? Wie beeinflusst Musikerleben die Persönlichkeitsentwicklung? Der Autor erklärt Eltern die spannendsten Forschungsergebnisse zum Musikerleben von der Schwangerschaft bis in die frühe Kindheit. Für jede Entwicklungsphase gibt er Anregungen, wie man Kinder spielerisch mit Musik begleiten, fordern und anregen kann: in gemeinsamen Ritualen, mit Singen, Rhythmus- und Bewegungsspielen. Dabei lernen Eltern vor allem Eines: genau hinhören und mitschwingen mit dem individuellen Rhythmus ihres Kindes.;978-3-497-0128-1;Deutsch
Decker-Voigt10b;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben;2008;Schwangerschaft, Musikerleben von Kindern, Hörvermögen, Musik und Persönlichkeitsentwicklung;Schon im Mutterleib erlebt das Baby Rhythmen, musikalische Dynamik und Melodien durch den Herzschlag der Mutter, ihre Stimme, Geräusche der Außenwelt. Wie entwickeln sich Musikerleben und Hörvermögen des Kindes? Wie prägen uns frühe Rhythmen? Wie beeinflusst Musikerleben die Persönlichkeitsentwicklung? Der Autor erklärt Eltern die spannendsten Forschungsergebnisse zum Musikerleben von der Schwangerschaft bis in die frühe Kindheit. Für jede Entwicklungsphase gibt er Anregungen, wie man Kinder spielerisch mit Musik begleiten, fordern und anregen kann: in gemeinsamen Ritualen, mit Singen, Rhythmus- und Bewegungsspielen. Dabei lernen Eltern vor allem Eines: genau hinhören und mitschwingen mit dem individuellen Rhythmus ihres Kindes.;978-3-497-0128-1;Deutsch
Decker-Voigt10c;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben;2008;Schwangerschaft, Musikerleben von Kindern, Hörvermögen, Musik und Persönlichkeitsentwicklung;Schon im Mutterleib erlebt das Baby Rhythmen, musikalische Dynamik und Melodien durch den Herzschlag der Mutter, ihre Stimme, Geräusche der Außenwelt. Wie entwickeln sich Musikerleben und Hörvermögen des Kindes? Wie prägen uns frühe Rhythmen? Wie beeinflusst Musikerleben die Persönlichkeitsentwicklung? Der Autor erklärt Eltern die spannendsten Forschungsergebnisse zum Musikerleben von der Schwangerschaft bis in die frühe Kindheit. Für jede Entwicklungsphase gibt er Anregungen, wie man Kinder spielerisch mit Musik begleiten, fordern und anregen kann: in gemeinsamen Ritualen, mit Singen, Rhythmus- und Bewegungsspielen. Dabei lernen Eltern vor allem Eines: genau hinhören und mitschwingen mit dem individuellen Rhythmus ihres Kindes.;978-3-497-0128-1;Deutsch
Decker-Voigt10d;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben;2008;Schwangerschaft, Musikerleben von Kindern, Hörvermögen, Musik und Persönlichkeitsentwicklung;Schon im Mutterleib erlebt das Baby Rhythmen, musikalische Dynamik und Melodien durch den Herzschlag der Mutter, ihre Stimme, Geräusche der Außenwelt. Wie entwickeln sich Musikerleben und Hörvermögen des Kindes? Wie prägen uns frühe Rhythmen? Wie beeinflusst Musikerleben die Persönlichkeitsentwicklung? Der Autor erklärt Eltern die spannendsten Forschungsergebnisse zum Musikerleben von der Schwangerschaft bis in die frühe Kindheit. Für jede Entwicklungsphase gibt er Anregungen, wie man Kinder spielerisch mit Musik begleiten, fordern und anregen kann: in gemeinsamen Ritualen, mit Singen, Rhythmus- und Bewegungsspielen. Dabei lernen Eltern vor allem Eines: genau hinhören und mitschwingen mit dem individuellen Rhythmus ihres Kindes.;978-3-497-0128-1;Deutsch
Decker-Voigt10e;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben. Wie Klänge Wirken: Schwangerschaft und frühe Kindheit;1999;Schwangerschaft, Frühe Kindheit, Kindesentwicklun, Persönlichkeitsentwicklung, Hören, Musikerleben;Die Klänge, die ein Kind ins Leben begleiten, beeinflussen seine gesamte Entwicklung. Schon im Mutterleib und unmittelbar nach der Geburt kommuniziert ein Kind mit seiner Umwelt: durch Laute, Töne und Klänge. Von dieser „Musik“ der ersten Dialoge handelt das Buch das Musiktherapeutin, Entwicklungspsychologen und Schriftstellers Professor Decker-Voigt. Er hat faszinierende Forschungsergebnisse einfühlsam und verständlich aufbereitet – für Eltern, Erzieher, Therapeuten und jeden Musikinteressierten.;3-7205-2061-7;Deutsch
Decker-Voigt10f;Decker-Voigt;Hans-Helmut;Mit Musik ins Leben. Wie Klänge Wirken: Schwangerschaft und frühe Kindheit;1999;Schwangerschaft, Frühe Kindheit, Kindesentwicklun, Persönlichkeitsentwicklung, Hören, Musikerleben;Die Klänge, die ein Kind ins Leben begleiten, beeinflussen seine gesamte Entwicklung. Schon im Mutterleib und unmittelbar nach der Geburt kommuniziert ein Kind mit seiner Umwelt: durch Laute, Töne und Klänge. Von dieser „Musik“ der ersten Dialoge handelt das Buch das Musiktherapeutin, Entwicklungspsychologen und Schriftstellers Professor Decker-Voigt. Er hat faszinierende Forschungsergebnisse einfühlsam und verständlich aufbereitet – für Eltern, Erzieher, Therapeuten und jeden Musikinteressierten.;3-7205-2061-7;Deutsch
Decker-Voigt11;Decker-Voigt;Hans-Helmut;Musik als Lebenshilfe. Teil A;1993;Aktion, Reaktion, Konzentration;Spiele aus dem Vorfeld der Musik zum Einsatz im Schnittfeld zwischen Musiktherapie und Musikpädagogik.;3-87204-352-8;Deutsch
Decker-Voigt12;Decker-Voigt;Hans-Helmut;Musik und Kommunikation Band 1;1987;;Funktionsfähiger, Verfahren, interdisziplinäre Verflechtung;3-87204-305-1;Deutsch
Decker-Voigt13;Decker-Voigt;Hans-Helmut;Musik und Kommunikation Band 2;1988;;Dokumentation der Fachtagung;3-87204-419-2;Deutsch
Decker-Voigt14;Decker-Voigt;Hans-Helmut;Musiktherapeutische Tiefenentspannung. Einführung in die Methodik rezeptiver Musiktherapie mit einem Beitrag von Frederik-Karl Maetzel;2009;Tiefenentspannung;;978-3-87204-358-0;Deutsch
Decker-Voigt14a;Decker-Voigt;Hans-Helmut;Musiktherapeutische Tiefenentspannung. Einführung in die Methodik rezeptiver Musiktherapie mit einem Beitrag von Frederik-Karl Maetzel;2009;Tiefenentspannung;;978-3-87204-358-0;Deutsch
Decker-Voigt14b;Decker-Voigt;Hans-Helmut;Musiktherapeutische Tiefenentspannung. Einführung in die Methodik rezeptiver Musiktherapie mit einem Beitrag von Frederik-Karl Maetzel;2009;Tiefenentspannung;;978-3-87204-358-0;Deutsch
Decker-Voigt15;Decker-Voigt;Hans-Helmut;Pummels erste Liebe. Ein Kinderbuch für Erwachsene mit Aquarellen von Werner Steinbrecher;2004;Inneres Kind, Liebe, Entwicklungsspychologie, Geschichte, Bilderbuch;"Erwachsene, die das Kind in sich pflegen, werden die Geschichte von Pummels erster Liebe lieben. Hans-Helmut Decker-Voigt hat mit ""Pummel"" eine neue Fabelform in die Entwicklungspsychologie eingeführt und zahlreiche Leserinnen und Leser begeistert. Nun führt er uns mit diesem Kinderbuch für Erwachsene in die Zeit der Pubertät und der ersten Liebe. Und wieder voller Wärme und mit einem Schmunzeln.";3934933092;Deutsch
Decker-Voigt16;Decker-Voigt;Hans-Helmut;Schulen der Musiktherapie;2001;Musiktherapie Schulen;"Die Musiktherapie ""boomt"" und ist zunehmend Pflichtwissen für zahlreiche gesundheitsberufe. Denn Rhythmus, Dynamik, Form, Klang und Melodie eröffnen auf inzwischen nachgewiesene Weise den Zugang zum seelischen und körperlichen Befinden des Menschen. Dabei lässt sich Musik in Medizin und Therapie vielfältig einsetzen. Die Ansätze spiegeln die gesamte Palette (psycho-)therapeutischer und analytischer Verfahren wieder. Sie erwachsen aus medizinischem und und psychologischem Fachwissen oder nehmen Anleihen aus der Philosophie und aus anderen Kulturen.";3-497-01574-1;Deutsch
Decker-Voigt16a;Decker-Voigt;Hans-Helmut;Schulen der Musiktherapie;2001;Musiktherapie Schulen;"Die Musiktherapie ""boomt"" und ist zunehmend Pflichtwissen für zahlreiche gesundheitsberufe. Denn Rhythmus, Dynamik, Form, Klang und Melodie eröffnen auf inzwischen nachgewiesene Weise den Zugang zum seelischen und körperlichen Befinden des Menschen. Dabei lässt sich Musik in Medizin und Therapie vielfältig einsetzen. Die Ansätze spiegeln die gesamte Palette (psycho-)therapeutischer und analytischer Verfahren wieder. Sie erwachsen aus medizinischem und und psychologischem Fachwissen oder nehmen Anleihen aus der Philosophie und aus anderen Kulturen.";3-497-01574-1;Deutsch
Decker-Voigt17;Decker-Voigt;Hans-Helmut;Spiele der Seele. Traum, Imagination und künstlerisches Tun.;1992;Spielraum, Bilder, Imagination, Ausdruckstherapie;Paolo J. Knill, Einer der führenden Psychotherapeuten in Mittel Europa, beeinflusste mit seiner als „Ausdruckstherapie“ (Express Therapie) verbreiteten Arbeit wesentliche Entwicklung der Musiktherapie, der Kunsttherapie, der Tanztherapie, der “Poetrytherapie“ und der klinischen Psychologie dort, wo dem anlässlich seines 60. Geburtstages dieses Werkbuch von folgenden Autorinnen und Autoren verfasst wurde: Franz an. Brandauer, Hans Helmut Decker-Voigt, Vera Decurtins, Margot Fuchs, Fritz Hegi, Stephen K. Levine, Thomas Moore, Shaun Mc Niff, Peter Petersen, Christoph Rauh, Gina Schibler, Rosemarie Tüpker, Gottfried Waser;3-929205-00-9;Deutsch
Decker-Voigt17a;Decker-Voigt;Hans-Helmut;Spiele der Seele. Traum, Imagination und künstlerisches Tun.;1992;Spielraum, Bilder, Imagination, Ausdruckstherapie;Paolo J. Knill, Einer der führenden Psychotherapeuten in Mittel Europa, beeinflusste mit seiner als „Ausdruckstherapie“ (Express Therapie) verbreiteten Arbeit wesentliche Entwicklung der Musiktherapie, der Kunsttherapie, der Tanztherapie, der “Poetrytherapie“ und der klinischen Psychologie dort, wo dem anlässlich seines 60. Geburtstages dieses Werkbuch von folgenden Autorinnen und Autoren verfasst wurde: Franz an. Brandauer, Hans Helmut Decker-Voigt, Vera Decurtins, Margot Fuchs, Fritz Hegi, Stephen K. Levine, Thomas Moore, Shaun Mc Niff, Peter Petersen, Christoph Rauh, Gina Schibler, Rosemarie Tüpker, Gottfried Waser;3-929205-00-9;Deutsch
Decker-Voigt17b;Decker-Voigt;Hans-Helmut;Spiele der Seele. Traum, Imagination und künstlerisches Tun.;1992;Spielraum, Bilder, Imagination, Ausdruckstherapie;Paolo J. Knill, Einer der führenden Psychotherapeuten in Mittel Europa, beeinflusste mit seiner als „Ausdruckstherapie“ (Express Therapie) verbreiteten Arbeit wesentliche Entwicklung der Musiktherapie, der Kunsttherapie, der Tanztherapie, der “Poetrytherapie“ und der klinischen Psychologie dort, wo dem anlässlich seines 60. Geburtstages dieses Werkbuch von folgenden Autorinnen und Autoren verfasst wurde: Franz an. Brandauer, Hans Helmut Decker-Voigt, Vera Decurtins, Margot Fuchs, Fritz Hegi, Stephen K. Levine, Thomas Moore, Shaun Mc Niff, Peter Petersen, Christoph Rauh, Gina Schibler, Rosemarie Tüpker, Gottfried Waser;3-929205-00-9;Deutsch
Decker-Voigt18;Decker-Voigt;Hans-Helmut;Spiele mit Musik. zum Sensibilisierungs- und Wahrnehmungstraining in der sonderpädagogischen Praxis.;1996;Spiele, Wahrnehmung, Sensibilisierung;;3-8344-3001-5;Deutsch
Decker-Voigt19;Decker-Voigt;Hans-Helmut;Vom Selbstmord des Rufmörders. Mobbing im Internet. ;2008;Mobbing, Digitalisierung, Erzählung, Geschichte, Internet, Internetmobbing;Ein Hochschullehrer bricht zu seiner letzten Vorlesung auf. Er hält sie auf einem Abschiedsdinner, das ihm zu Ehren für Honoratioren, Kollegen, Freunde und Familienmitglieder gegeben wird. Zum ersten Mal spricht er über ein Leiden, das ihm die Jahre vor der Emeritierung vergällt hat: Rufmord, betrieben über das nicht zum Schweigen zu bringende Medium Internet. Er analysiert die Qualen, die diese moderne Form des Mobbings über einen Menschen bringt, und findet aus der Selbstbeobachtung zu einer ermutigenden Lösung. Die packende Geschichte basiert auf eigener, leidvoller Erfahrung des Autors. Hans-Helmut Decker-Voigt, international mit Ehrungen überhäufter Pionier der Musiktherapie, hat eine ungewöhnliche Karriere hinter sich, die in seiner Krankheit als Kind und Jugendlicher gründet. Vor dieser Kulisse entfaltet er das ganze Drama eines Menschen, der sich schutzlos einer Schmutzkampagne ausgeliefert sieht. Trotz aller Psychologie hilft am Ende nur die Erfahrung der Liebe, den Teufelskreis der selbstzerstörerischen Gefühle zu durchbrechen.;978-3927369-35-1;Deutsch
Decker-Voigt20;Decker-Voigt;Hans-Helmut;Zwischen Tönen und Worten. Ein Reader mit Aufsätzen, Reden und Interviews;2012;Phänomenologisch orientierte Musiktherapie;"„Intuition oder Analyse“ war ein Heftchen mit 10 Seiten, das der Autor dieses Buches als 16jähriger schrieb und erstmals „Musik als Therapie“ andachte vor dem Hintergrund seiner eigenen Selbsterfahrung, in der Musik in Salutogenese und Therapie eine zentrale Rolle spielte. 
Fast 50 Jahre liegen zwischen jenem Heftchen und dem Interview zum Thema „Intuition“ in diesem Reader, in denen der Buchautor, Herausgeber und langjährige Fachhochschullehrer und Hochschullehrer für Musiktherapie auch außerhalb der Hochschulwelten auf Kongressen und Symposien auf fast allen Erdteilen redete, in Interviews Antworten gab und einzelne Aufsätze im Ausland veröffentlichte, die hier nicht vollständig erfasst wurden. Alles Denken wurde mitgeprägt durch die die Wissenschaft begleitende praktische Arbeit in Kliniken als Musiktherapeut, Ausdruckstherapeut und Hypnosetherapeut.
Dieser Reader zeigt das Spektrum, das der Autor für die „phänomenologisch orientierte Musiktherapie“ sieht, in dem er selbst erwachsen wurde, das er mitprägte.
Es ist bunt, dies Spektrum, vermittelt bisher unbekanntere Einblicke des Autors in bekannte Themen, in seine klinische Arbeit („Mich macht krank, was ich liebe…“ in vollständiger Fassung) und in seine Art, auf Fragen der öffentlichen Medien zu antworten.";389500877X;Deutsch
Decker-Voigt20a;Decker-Voigt;Hans-Helmut;Zwischen Tönen und Worten. Ein Reader mit Aufsätzen, Reden und Interviews;2012;Phänomenologisch orientierte Musiktherapie;"„Intuition oder Analyse“ war ein Heftchen mit 10 Seiten, das der Autor dieses Buches als 16jähriger schrieb und erstmals „Musik als Therapie“ andachte vor dem Hintergrund seiner eigenen Selbsterfahrung, in der Musik in Salutogenese und Therapie eine zentrale Rolle spielte. 
Fast 50 Jahre liegen zwischen jenem Heftchen und dem Interview zum Thema „Intuition“ in diesem Reader, in denen der Buchautor, Herausgeber und langjährige Fachhochschullehrer und Hochschullehrer für Musiktherapie auch außerhalb der Hochschulwelten auf Kongressen und Symposien auf fast allen Erdteilen redete, in Interviews Antworten gab und einzelne Aufsätze im Ausland veröffentlichte, die hier nicht vollständig erfasst wurden. Alles Denken wurde mitgeprägt durch die die Wissenschaft begleitende praktische Arbeit in Kliniken als Musiktherapeut, Ausdruckstherapeut und Hypnosetherapeut.
Dieser Reader zeigt das Spektrum, das der Autor für die „phänomenologisch orientierte Musiktherapie“ sieht, in dem er selbst erwachsen wurde, das er mitprägte.
Es ist bunt, dies Spektrum, vermittelt bisher unbekanntere Einblicke des Autors in bekannte Themen, in seine klinische Arbeit („Mich macht krank, was ich liebe…“ in vollständiger Fassung) und in seine Art, auf Fragen der öffentlichen Medien zu antworten.";389500877X;Deutsch
Decker-Voigt21;Decker Voigt, Dunkelziffer e.V.;Hans-Helmut;"""Der Schrecken wird hörbar"" Musiktherapie für sexuell missbrauchte Kinder";2005;Sexueller Missbrauch, Kinder;Hilfe für sexuell missbrauchte Kinder - niemand kann auf die Idee kommen, bei dieser Arbeit nicht mit anzufassen.;3-87204-434-6;Deutsch
Decker-Voigt22;Decker-Voigt, Oberegelsbacher, Timmermann;;Lehrbuch Musiktherapie;2008;Theoretische Grundlagen;Das Lehrbuch stellt die theoretischen Grundlagen, Behandlungstechniken und klinischen Anwendungen der Musiktherapie umfassend dar. Der Aufbau des Werkes folgt der Entwicklung des Menschen – vom intrauterinen Klangraum angefangen bis zum letzten Lebensabschnitt – und der Rolle der Musik als Therapeutikum darin. Erläutert werden u. a. Setting, Wirkfaktoren, Indikationen und Instrumentarium. Die praktische Anwendung wird für verschiedene Alters- und Entwicklungsstufen mit je typischen Störungsbildern und Konflikten beschrieben und mit vielen Falldarstellungen illustriert. Ein Ausblick auf Forschungsfragen und Entwicklungstrends und ein Überblick über Ausbildung und Organisationen runden das Werk ab.;978-3-8252-3068-5;Deutsch
Decker-Voigt22a;Decker-Voigt, Oberegelsbacher, Timmermann;;Lehrbuch Musiktherapie;2008;Theoretische Grundlagen;Das Lehrbuch stellt die theoretischen Grundlagen, Behandlungstechniken und klinischen Anwendungen der Musiktherapie umfassend dar. Der Aufbau des Werkes folgt der Entwicklung des Menschen – vom intrauterinen Klangraum angefangen bis zum letzten Lebensabschnitt – und der Rolle der Musik als Therapeutikum darin. Erläutert werden u. a. Setting, Wirkfaktoren, Indikationen und Instrumentarium. Die praktische Anwendung wird für verschiedene Alters- und Entwicklungsstufen mit je typischen Störungsbildern und Konflikten beschrieben und mit vielen Falldarstellungen illustriert. Ein Ausblick auf Forschungsfragen und Entwicklungstrends und ein Überblick über Ausbildung und Organisationen runden das Werk ab.;978-3-8252-3068-5;Deutsch
Decker-Voigt22b;Decker-Voigt, Oberegelsbacher, Timmermann;;Lehrbuch Musiktherapie;2008;Theoretische Grundlagen;Das Lehrbuch stellt die theoretischen Grundlagen, Behandlungstechniken und klinischen Anwendungen der Musiktherapie umfassend dar. Der Aufbau des Werkes folgt der Entwicklung des Menschen – vom intrauterinen Klangraum angefangen bis zum letzten Lebensabschnitt – und der Rolle der Musik als Therapeutikum darin. Erläutert werden u. a. Setting, Wirkfaktoren, Indikationen und Instrumentarium. Die praktische Anwendung wird für verschiedene Alters- und Entwicklungsstufen mit je typischen Störungsbildern und Konflikten beschrieben und mit vielen Falldarstellungen illustriert. Ein Ausblick auf Forschungsfragen und Entwicklungstrends und ein Überblick über Ausbildung und Organisationen runden das Werk ab.;978-3-8252-3068-5;Deutsch
Decker-Voigt23;Decker-Voigt, Weymann Eckhard;;Lexikon Musiktherapie;2009;Lexikon, Begriffe, Grundlagen;Ob als Nachschlagewerk für Praktiker, Lehrende, Forschende und Studierende oder als informatives »Lesebuch« bietet das Lexikon eine umfassende Orientierung in dem mittlerweile vielfältig verästelten Fachgebiet der Musiktherapie. In zweiter, überarbeiteter und erweiterter Auflage stellt dieses bewährte Handbuch kompakt aufbereitet und verständlich geschrieben die zentralen Positionen dieser künstlerischen Therapieform dar. Ausgewiesene Experten behandeln in 123 Stichwörtern ein breites Spektrum an Themen, wie z.B. die Bedeutung des Hörens und seine Beeinträchtigungen, musiktherapeutische Diagnostik und Indikation, Spielarten (musik-)therapeutischer Methodologie und Praxeologie, Fragen der ästhetischen Positionierung oder der Ethik des Berufs. Dabei werden aktuelle Forschungsergebnisse vermittelt, die Theoriebildung nachgezeichnet und die konkrete Anwendung in unterschiedlichsten Feldern vorgestellt. Die in der zweiten Auflage neu aufgenommenen Beiträge behandeln unter anderem folgende Themen: »Musiktherapie mit alten Menschen«, »Berufsrecht in der Musiktherapie«, »Geschichte der ostdeutschen Musiktherapie«, »Musiktherapie mit hyperaktiven und verstummten Kindern«, »Säuglingsforschung und Musiktherapie«, »Onkologie und Musiktherapie« oder »Musiktherapie an Musikschulen«.;978-3-8017-2162-6;Deutsch
Decker-Voigt24;Decker-Voigt, Knill Paolo J., Eymann Eckhard;;Lexikon Musiktherapie;1996;Lexikon, Begriffe, Grundlagen;"Musiktherapie ist international mittlerweile so konsolidiert, dass eine handlich lexikalische Übersicht über die vielfältigen Ansätze Musik therapeutische Praxis, Forschung und Lehre möglich und nötig wird. So ein interdisziplinäres und internationales Team von Autoren stellt in diesem Lexikon den gegenwärtigen Stand der Musiktherapie da. Das Lexikon vermittelt Hintergrundwissen zu den verschiedensten Strömungen im Bereich Musiktherapie, zum Beispiel zur analytische Musiktherapie, zum musiktherapeutischen Verhaltensmodifikation, zur anthroposophischen und sonderpädagogischem Musiktherapie sowie zum morphologisch – hermeneutischen Verfahren. Es enthält weiterhin zentrale Begriffe aus dem Bereich musiktherapeutischen Denkens und Handelns in Geschichte und Gegenwart, zu ethnopsychiatrischen Aspekten in der Musiktherapie verschiedene Kulturen, so esoterische Tradition der Musiktherapie sowie Schamanistischen Heilriten und vielem mehr.  Schließlich informiert das Lexikon über staatliche und privatemusiktherapeutische Studiengänge sowie über die ""Übergangsgebiete"" der Musiktherapie zu Medizin, zu Psychologie, zu Sonder- und Heilpädagogik.";3-8017-0636-2;Deutsch
Decker-Voigt24a;Decker-Voigt, Knill Paolo J., Eymann Eckhard;;Lexikon Musiktherapie;1996;Lexikon, Begriffe, Grundlagen;"Musiktherapie ist international mittlerweile so konsolidiert, dass eine handlich lexikalische Übersicht über die vielfältigen Ansätze Musik therapeutische Praxis, Forschung und Lehre möglich und nötig wird. So ein interdisziplinäres und internationales Team von Autoren stellt in diesem Lexikon den gegenwärtigen Stand der Musiktherapie da. Das Lexikon vermittelt Hintergrundwissen zu den verschiedensten Strömungen im Bereich Musiktherapie, zum Beispiel zur analytische Musiktherapie, zum musiktherapeutischen Verhaltensmodifikation, zur anthroposophischen und sonderpädagogischem Musiktherapie sowie zum morphologisch – hermeneutischen Verfahren. Es enthält weiterhin zentrale Begriffe aus dem Bereich musiktherapeutischen Denkens und Handelns in Geschichte und Gegenwart, zu ethnopsychiatrischen Aspekten in der Musiktherapie verschiedene Kulturen, so esoterische Tradition der Musiktherapie sowie Schamanistischen Heilriten und vielem mehr.  Schließlich informiert das Lexikon über staatliche und privatemusiktherapeutische Studiengänge sowie über die ""Übergangsgebiete"" der Musiktherapie zu Medizin, zu Psychologie, zu Sonder- und Heilpädagogik.";3-8017-0636-2;Deutsch
